B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,QA_PIXEL,QA_RADSAT,SAA,SZA,VAA,VZA,NDSI,NDVI,NDWI,B8/B6,B8/B6_1,NDSI_1,NDVI_1,NDWI_1,count,system:index,label
9706.563575525812,9431.998565965583,9688.80019120459,10682.177342256215,11692.945028680688,11294.110898661567,10364.269598470364,9998.069789674952,6494.187858508604,19949.972275334607,19794.713193116633,21959.017208413003,0.0,5698.708891013384,4156.303537284894,12319.3551625239,144.77581261950286,-0.1123478755428726,0.03929607665841156,-0.08056376933231876,-0.09795247423687387,-0.09795247423687387,-0.1123478755428726,0.03929607665841156,-0.08056376933231876,1046,-258152-105048,-1362215254
9864.93009478673,9597.296208530806,9736.29028436019,10698.595971563982,11359.266587677725,10963.331753554503,9732.225118483413,10050.559241706162,6072.054502369669,23887.20260663507,23079.50473933649,21824.0,0.0,5690.095971563981,4159.417061611374,10341.084123222749,122.43838862559242,-0.07954654768241737,0.028630021987129797,-0.07264669469041282,-0.06438988074625818,-0.06438988074625818,-0.07954654768241737,0.028630021987129797,-0.07264669469041282,422,-258152-105316,-437589821
9889.757888349515,9823.470873786408,10347.406553398057,11258.645024271844,11707.240898058253,11228.366504854368,9881.457524271844,10623.121966019418,6482.0764563106795,20683.879854368934,20361.598300970873,21848.90776699029,0.0,5695.688106796117,4157.452063106796,12438.339199029126,136.30339805825244,-0.08900808651555212,0.016467187581564784,-0.05172259596653127,-0.07503353183834335,-0.07503353183834335,-0.08900808651555212,0.016467187581564784,-0.05172259596653127,824,-258154-105134,-848769462
9598.32695652174,9395.125217391304,9923.780869565217,10989.461739130435,11733.565217391304,12161.48347826087,10898.642608695653,10274.534782608696,6039.66347826087,25363.541739130436,24277.498260869565,21824.77913043478,0.0,5689.027826086956,4160.053913043478,9771.645217391304,121.04782608695652,-0.1257603459060192,0.03042564742712547,-0.07642339663661045,-0.10974464318512575,-0.10974464318512575,-0.1257603459060192,0.03042564742712547,-0.07642339663661045,575,-258163-105371,-1504967496
10623.751040221914,10461.307905686546,10953.51386962552,12291.608876560333,13017.306518723994,12253.83495145631,11101.12482662968,11456.468099861304,6824.889736477116,23010.089459084604,22345.226768377255,21835.29126213592,0.0,5691.725381414702,4159.4306518724,12430.518030513176,129.34674063800279,-0.08265990483771232,0.028548186190875863,-0.08263418394116356,-0.061912500400367595,-0.061912500400367595,-0.08265990483771232,0.028548186190875863,-0.08263418394116356,721,-258166-105283,1907321774
10523.280172413793,10418.719827586207,11147.523706896553,12885.536637931034,14438.04525862069,16045.038793103447,14305.172413793103,11709.853448275862,7390.709051724138,26606.782327586207,25300.282327586207,21824.0,0.0,5690.4698275862065,4160.273706896552,12355.784482758621,128.0280172413793,-0.18606695963134026,0.055479544311248026,-0.12575975611227855,-0.1621991211291531,-0.1621991211291531,-0.18606695963134026,0.055479544311248026,-0.12575975611227855,232,-258171-105353,-572263266
10608.296024609559,10616.814008518693,11410.467581637482,12858.59701845717,13912.15854235684,13673.185044959773,12168.912683388548,11865.76407950781,7855.847610033128,21308.304779933744,20922.011594888783,21918.17841930904,0.0,5694.736393752958,4158.116185518221,12440.338854708945,135.99810695693327,-0.1270274902382972,0.03454094095921015,-0.0871558968373949,-0.10790074389673816,-0.10790074389673816,-0.1270274902382972,0.03454094095921015,-0.0871558968373949,2113,-258178-105155,-47439183
10423.159649952697,10322.48344370861,10888.41201513718,12043.06362346263,12993.212630085147,13645.980605487228,12309.62724692526,11242.177861873226,6630.014664143803,26776.713103122045,25448.2197256386,21824.0,0.0,5689.983680227057,4159.804162724692,10757.295648060548,123.54399243140965,-0.12555430468714593,0.03750121828899035,-0.08660344508354964,-0.10987064718129377,-0.10987064718129377,-0.12555430468714593,0.03750121828899035,-0.08660344508354964,2114,-258179-105311,1247675375
8877.158620689655,8462.959113300492,8306.183251231527,8537.485714285714,8594.217733990148,7719.033990147784,7302.7172413793105,8379.7039408867,5535.464039408867,19376.5078817734,19282.571921182265,22522.13300492611,0.0,5696.99802955665,4156.935960591133,12386.960098522168,140.38128078817735,-0.01577118236200656,6.564786501024939E-4,-0.004855635509821369,-0.015616828167373475,-0.015616828167373475,-0.01577118236200656,6.564786501024939E-4,-0.004855635509821369,1015,-258180-105092,1670167138
10881.105716523101,10796.306577916994,11665.586139389194,13433.33476898982,14934.35356303837,14985.369616288175,13425.309710258418,12246.272122161316,9116.644479248238,23515.164839467503,22798.173061863745,21962.465152701643,0.0,5692.8786217697725,4159.185982772122,12450.663664839467,133.35003915426782,-0.14008546395019644,0.051644329115830084,-0.11867698978854398,-0.11783531566949805,-0.11783531566949805,-0.14008546395019644,0.051644329115830084,-0.11867698978854398,1277,-258180-105242,-824536224
10769.129498364231,10944.100054525627,12436.974100327154,14230.515812431842,15122.497273718647,17154.047982551798,14336.401853871319,12845.628135223555,6623.395038167939,26351.781897491823,25033.00790621592,21828.484187568156,0.0,5689.522355507088,4161.17639040349,11965.229007633588,128.37540894220282,-0.18086459188678403,0.030212617508471717,-0.09487465175727916,-0.1652056189130021,-0.1652056189130021,-0.18086459188678403,0.030212617508471717,-0.09487465175727916,1834,-258182-105381,194487575
10126.313216957606,9975.409226932668,10440.95187032419,11378.079551122195,12135.079052369078,13261.184538653366,12147.315211970075,10707.26982543641,6909.149376558604,26048.11620947631,24824.482793017458,21824.383042394016,0.0,5690.6768079800495,4160.698004987531,12293.996259351621,130.98079800498752,-0.13455439329825508,0.03094242788214606,-0.07219202998268448,-0.12237118231109402,-0.12237118231109402,-0.13455439329825508,0.03094242788214606,-0.07219202998268448,2005,-258185-105339,-1332431051
9675.895222584148,9324.086862106406,9265.527144408252,9657.182410423453,9750.864820846906,8147.098805646037,7724.181867535288,9367.648208469056,5925.413680781759,18328.73181324647,18414.794245385452,22219.628664495114,0.0,5697.731270358307,4156.465798045602,12373.351248642779,141.23018458197612,-0.01465393617874762,0.008579424164688198,-0.024573008953502503,-0.01102931864545146,-0.01102931864545146,-0.01465393617874762,0.008579424164688198,-0.024573008953502503,921,-258186-105066,-2113896594
10343.752336448599,10480.109813084113,11273.76168224299,12404.710280373833,12835.273364485982,13084.20093457944,11149.822429906542,11656.19859813084,7162.476635514019,21421.68691588785,20991.1285046729,21858.093457943924,0.0,5695.530373831775,4157.906542056075,12409.289719626167,138.95560747663552,-0.10143616341193702,0.01716186036046395,-0.06058143287305241,-0.08371651045995478,-0.08371651045995478,-0.10143616341193702,0.01716186036046395,-0.06058143287305241,214,-258189-105164,1762907347
10958.52969762419,10765.501079913607,11160.874190064795,12288.675485961123,13296.228941684665,12915.9373650108,11719.54211663067,11539.058315334772,8525.230021598272,22326.983801295897,21781.652267818576,22135.147948164147,0.0,5694.047516198704,4159.180345572354,12421.019978401728,138.20086393088553,-0.09239627724260968,0.03742063719371674,-0.08130902173621157,-0.07866137872592618,-0.07866137872592618,-0.09239627724260968,0.03742063719371674,-0.08130902173621157,926,-258191-105220,88710394
10909.023829787235,10868.13914893617,11473.167234042554,12164.120425531915,12303.935744680852,11773.142978723405,10753.63574468085,11665.391489361702,7108.29829787234,23855.12936170213,23050.44510638298,21949.95914893617,0.0,5692.26085106383,4160.402978723404,12435.423829787234,136.45276595744681,-0.04554333537396544,0.003951431800433056,-0.028799057306966094,-0.03829828905301451,-0.03829828905301451,-0.04554333537396544,0.003951431800433056,-0.028799057306966094,1175,-258192-105296,-888592872
10277.462412587412,10128.719405594406,10357.091783216783,10610.65034965035,10493.77097902098,10218.509615384615,9401.135489510489,10408.978146853147,6318.284965034965,24870.65472027972,23901.222027972028,21886.328671328672,0.0,5691.533216783217,4160.208041958042,12441.823426573426,132.35314685314685,-0.015793377470335608,-0.005366840259090817,-0.005820952003152622,-0.013051825909448646,-0.013051825909448646,-0.015793377470335608,-0.005366840259090817,-0.005820952003152622,572,-258195-105309,-175155118
13067.758918296893,14337.816455696202,16543.189873417723,18697.16340621404,18905.32911392405,19998.511507479863,15314.200805523591,17080.20598388953,8762.71403912543,23329.01323360184,22514.800345224397,21943.99424626007,0.0,5695.837169159954,4158.494246260069,12345.334292289988,142.99309551208285,-0.11671721057964209,0.006973375355949851,-0.06441158974935463,-0.10031618865665533,-0.10031618865665533,-0.11671721057964209,0.006973375355949851,-0.06441158974935463,869,-258199-105159,-2088502447
